Token	True Label	Predicted Label
signals	O	O
reaching	O	O
it	O	O
,	O	O
may	O	O
be	O	O
an	O	O
important	O	O
element	O	O
contributing	O	O
to	O	O
the	O	O
maladaptive	O	O
sensorimotor	O	O
plasticity	O	O
of	O	O
m1	O	O
and	O	O
the	O	O
emergence	O	O
of	O	O
abnormal	O	O
involuntary	O	O
movements	O	O
.	O	O

the	O	O
function	O	O
of	O	O
p2x3	O	B-chem
receptor	O	O
and	O	O
nk1	O	O
receptor	O	O
antagonists	O	O
on	O	O
cyclophosphamide	B-chem	B-chem
-	O	O
induced	O	O
cystitis	O	O
in	O	O
rats	O	O
.	O	O

purpose	O	O
:	O	O

the	O	O
purpose	O	O
of	O	O
the	O	O
study	O	O
is	O	O
to	O	O
explore	O	O
the	O	O
function	O	O
of	O	O
p2x3	O	B-chem
and	O	O
nk1	O	O
receptors	O	O
antagonists	O	O
on	O	O
cyclophosphamide	B-chem	B-chem
(	O	O
cyp	B-chem	B-chem
)	O	O
-	O	O
induced	O	O
cystitis	O	O
in	O	O
rats	O	O
.	O	O

methods	O	O
:	O	O

sixty	O	O
female	O	O
sprague	O	O
-	O	O
dawley	O	O
(	O	O
sd	O	O
)	O	O
rats	O	O
were	O	O
randomly	O	O
divided	O	O
into	O	O
three	O	O
groups	O	O
.	O	O

the	O	O
rats	O	O
in	O	O
the	O	O
control	O	O
group	O	O
were	O	O
intraperitoneally	O	O
(	O	O
i	O	O
.	O	O
p	O	O
.	O	O
)	O	O
injected	O	O
with	O	O
0	O	O
.	O	O
9	O	O
%	O	O
saline	O	O
(	O	O
4	O	O
ml	O	O
/	O	O
kg	O	O
)	O	O
;	O	O
the	O	O
rats	O	O
in	O	O
the	O	O
model	O	O
group	O	O
were	O	O
i	O	O
.	O	O
p	O	O
.	O	O

injected	O	O
with	O	O
cyp	B-chem	B-chem
(	O	O
150	O	O
mg	O	O
/	O	O
kg	O	O
)	O	O
;	O	O
and	O	O
the	O	O
rats	O	O
in	O	O
the	O	O
intervention	O	O
group	O	O
were	O	O
i	O	O
.	O	O
p	O	O
.	O	O

injected	O	O
with	O	O
cyp	B-chem	O
with	O	O
subsequently	O	O
perfusion	O	O
of	O	O
bladder	O	O
with	O	O
p2x3	O	B-chem
and	O	O
nk1	O	O
receptors	O	O
'	O	O
antagonists	O	O
,	O	O
suramin	B-chem	B-chem
and	O	O
gr	B-chem	B-chem
82334	I-chem	O
.	O	O

spontaneous	O	O
pain	O	O
behaviors	O	O
following	O	O
the	O	O
administration	O	O
of	O	O
cyp	B-chem	O
were	O	O
observed	O	O
.	O	O

urodynamic	O	O
parameters	O	O
,	O	O
bladder	O	O
pressure	O	O
-	O	O
volume	O	O
curve	O	O
,	O	O
maximum	O	O
voiding	O	O
pressure	O	O
(	O	O
mvp	O	O
)	O	O
,	O	O
and	O	O
maximum	O	O
cystometric	O	O
capacity	O	O
(	O	O
mcc	O	O
)	O	O
,	O	O
were	O	O
recorded	O	O
.	O	O

pathological	O	O
changes	O	O
in	O	O
bladder	O	O
tissue	O	O
were	O	O
observed	O	O
.	O	O

immunofluorescence	O	O
was	O	O
used	O	O
to	O	O
detect	O	O
the	O	O
expression	O	O
of	O	O
p2x3	O	O
and	O	O
nk1	O	O
receptors	O	O
in	O	O
bladder	O	O
.	O	O

results	O	O
:	O	O

cyclophosphamide	B-chem	B-chem
treatment	O	O
increased	O	O
the	O	O
spontaneous	O	O
pain	O	O
behaviors	O	O
scores	O	O
.	O	O

the	O	O
incidence	O	O
of	O	O
bladder	O	O
instability	O	O
during	O	O
urine	O	O
storage	O	O
period	O	O
of	O	O
model	O	O
group	O	O
was	O	O
significantly	O	O
higher	O	O
than	O	O
intervention	O	O
group	O	O
(	O	O
x	O	O
(	O	O
2	O	O
)	O	O
=	O	O

7	O	O
.	O	O
619	O	O
,	O	O
p	O	O
=	O	O
0	O	O
.	O	O
007	O	O
)	O	O
and	O	O
control	O	O
group	O	O
(	O	O
x	O	O
(	O	O
2	O	O
)	O	O
=	O	O

13	O	O
.	O	O
755	O	O
,	O	O
p	O	O
=	O	O
0	O	O
.	O	O
000	O	O
)	O	O
.	O	O

mcc	O	O
in	O	O
the	O	O
model	O	O
group	O	O
was	O	O
lower	O	O
than	O	O
the	O	O
control	O	O
and	O	O
intervention	O	O
groups	O	O
(	O	O
p	O	O
<	O	O
0	O	O
.	O	O
01	O	O
)	O	O
.	O	O

histological	O	O
changes	O	O
evident	O	O
in	O	O
model	O	O
and	O	O
intervention	O	O
groups	O	O
rats	O	O
'	O	O
bladder	O	O
included	O	O
edema	O	O
,	O	O
vasodilation	O	O
,	O	O
and	O	O
infiltration	O	O
of	O	O
inflammatory	O	O
cells	O	O
.	O	O

in	O	O
model	O	O
group	O	O
,	O	O
the	O	O
expression	O	O
of	O	O
p2x3	O	O
receptor	O	O
increased	O	O
in	O	O
urothelium	O	O
and	O	O
suburothelium	O	O
,	O	O
and	O	O
nk1	O	O
receptor	O	O
increased	O	O
in	O	O
suburothelium	O	O
,	O	O
while	O	O
the	O	O
expression	O	O
of	O	O
them	O	O
in	O	O
intervention	O	O
group	O	O
was	O	O
lower	O	O
.	O	O

conclusions	O	O
:	O	O

in	O	O
cyp	B-chem	B-chem
-	O	O
induced	O	O
cystitis	O	O
,	O	O
the	O	O
expression	O	O
of	O	O
p2x3	O	O
and	O	O
nk1	O	O
receptors	O	O
increased	O	O
in	O	O
urothelium	O	O
and	O	O
/	O	O
or	O	O
suburothelium	O	O
.	O	O

perfusion	O	O
of	O	O
bladder	O	O
with	O	O
p2x3	O	B-chem
and	O	O
nk1	O	O
receptors	O	O
antagonists	O	O
ameliorated	O	O
the	O	O
bladder	O	O
function	O	O
.	O	O

acute	O	O
hepatitis	O	O
associated	O	O
with	O	O
clopidogrel	B-chem	B-chem
:	O	O
a	O	O
case	O	O
report	O	O
and	O	O
review	O	O
of	O	O
the	O	O
literature	O	O
.	O	O

drug	O	O
-	O	O
induced	O	O
hepatotoxicity	O	O
is	O	O
a	O	O
common	O	O
cause	O	O
of	O	O
acute	O	O
hepatitis	O	O
,	O	O
and	O	O
the	O	O
recognition	O	O
of	O	O
the	O	O
responsible	O	O
drug	O	O
may	O	O
be	O	O
difficult	O	O
.	O	O

we	O	O
describe	O	O
a	O	O
case	O	O
of	O	O
clopidogrel	B-chem	B-chem
-	O	O
related	O	O
acute	O	O
hepatitis	O	O
.	O	O

the	O	O
diagnosis	O	O
is	O	O
strongly	O	O
suggested	O	O
by	O	O
an	O	O
accurate	O	O
medical	O	O
history	O	O
and	O	O
liver	O	O
biopsy	O	O
.	O	O

reports	O	O
about	O	O
cases	O	O
of	O	O
hepatotoxicity	O	O
due	O	O
to	O	O
clopidogrel	B-chem	B-chem
are	O	O
increasing	O	O
in	O	O
the	O	O
last	O	O
few	O	O
years	O	O
,	O	O
after	O	O
the	O	O
increased	O	O
use	O	O
of	O	O
this	O	O
drug	O	O
.	O	O

in	O	O
conclusion	O	O
,	O	O
we	O	O
believe	O	O
that	O	O
physicians	O	O
should	O	O
carefully	O	O
consider	O	O
the	O	O
risk	O	O
of	O	O
drug	O	O
-	O	O
induced	O	O
hepatic	O	O
injury	O	O
when	O	O
clopidogrel	B-chem	B-chem
is	O	O
prescribed	O	O
.	O	O

bortezomib	B-chem	B-chem
and	O	O
dexamethasone	B-chem	B-chem
as	O	O
salvage	O	O
therapy	O	O
in	O	O
patients	O	O
with	O	O
relapsed	O	O
/	O	O
refractory	O	O
multiple	O	O
myeloma	O	O
:	O	O
analysis	O	O
of	O	O
long	O	O
-	O	O
term	O	O
clinical	O	O
outcomes	O	O
.	O	O

bortezomib	B-chem	B-chem
(	O	O
bort	B-chem	O
)	O	O
-	O	O
dexamethasone	B-chem	B-chem
(	O	O
dex	B-chem	B-chem
)	O	O
is	O	O
an	O	O
effective	O	O
therapy	O	O
for	O	O
relapsed	O	O
/	O	O
refractory	O	O
(	O	O
r	O	O
/	O	O
r	O	O
)	O	O
multiple	O	O
myeloma	O	O
(	O	O
mm	O	O
)	O	O
.	O	O

this	O	O
retrospective	O	O
study	O	O
investigated	O	O
the	O	O
combination	O	O
of	O	O
bort	B-chem	O
(	O	O
1	O	O
.	O	O
3	O	O
mg	O	O
/	O	O
m	O	O
(	O	O
2	O	O
)	O	O
on	O	O
days	O	O
1	O	O
,	O	O
4	O	O
,	O	O
8	O	O
,	O	O
and	O	O
11	O	O
every	O	O
3	O	O
weeks	O	O
)	O	O
and	O	O
dex	B-chem	B-chem
(	O	O
20	O	O
mg	O	O
on	O	O
the	O	O
day	O	O
of	O	O
and	O	O
the	O	O
day	O	O
after	O	O
bort	B-chem	O
)	O	O
as	O	O
salvage	O	O
treatment	O	O
in	O	O
85	O	O
patients	O	O
with	O	O
r	O	O
/	O	O
r	O	O
mm	O	O
after	O	O
prior	O	O
autologous	O	O
stem	O	O
cell	O	O
transplantation	O	O
or	O	O
conventional	O	O
chemotherapy	O	O
.	O	O

the	O	O
median	O	O
number	O	O
of	O	O
prior	O	O
lines	O	O
of	O	O
therapy	O	O
was	O	O
2	O	O
.	O	O

eighty	O	O
-	O	O
seven	O	O
percent	O	O
of	O	O
the	O	O
patients	O	O
had	O	O
received	O	O
immunomodulatory	O	O
drugs	O	O
included	O	O
in	O	O
some	O	O
line	O	O
of	O	O
therapy	O	O
before	O	O
bort	B-chem	O
-	O	O
dex	B-chem	B-chem
.	O	O

the	O	O
median	O	O
number	O	O
of	O	O
bort	B-chem	O
-	O	O
dex	B-chem	B-chem
cycles	O	O
was	O	O
6	O	O
,	O	O
up	O	O
to	O	O
a	O	O
maximum	O	O
of	O	O
12	O	O
cycles	O	O
.	O	O

on	O	O
an	O	O
intention	O	O
-	O	O
to	O	O
-	O	O
treat	O	O
basis	O	O
,	O	O
55	O	O
%	O	O
of	O	O
the	O	O
patients	O	O
achieved	O	O
at	O	O
least	O	O
partial	O	O
response	O	O
,	O	O
including	O	O
19	O	O
%	O	O
cr	O	O
and	O	O
35	O	O
%	O	O
achieved	O	O
at	O	O
least	O	O
very	O	O
good	O	O
partial	O	O
response	O	O
.	O	O

median	O	O
durations	O	O
of	O	O
response	O	O
,	O	O
time	O	O
to	O	O
next	O	O
therapy	O	O
and	O	O
treatment	O	O
-	O	O
free	O	O
interval	O	O
were	O	O
8	O	O
,	O	O
11	O	O
.	O	O
2	O	O
,	O	O
and	O	O
5	O	O
.	O	O
1	O	O
months	O	O
,	O	O
respectively	O	O
.	O	O

the	O	O
most	O	O
relevant	O	O
adverse	O	O
event	O	O
was	O	O
peripheral	O	O
neuropathy	O	O
,	O	O
which	O	O
occurred	O	O
in	O	O
78	O	O
%	O	O
of	O	O
the	O	O
patients	O	O
(	O	O
grade	O	O
ii	O	O
,	O	O
38	O	O
%	O	O
;	O	O
grade	O	O
iii	O	O
,	O	O
21	O	O
%	O	O
)	O	O
and	O	O
led	O	O
to	O	O
treatment	O	O
discontinuation	O	O
in	O	O
6	O	O
%	O	O
.	O	O

with	O	O
a	O	O
median	O	O
follow	O	O
up	O	O
of	O	O
22	O	O
months	O	O
,	O	O
median	O	O
time	O	O
to	O	O
progression	O	O
,	O	O
progression	O	O
-	O	O
free	O	O
survival	O	O
(	O	O
pfs	O	O
)	O	O
and	O	O
overall	O	O
survival	O	O
(	O	O
os	O	O
)	O	O
were	O	O
8	O	O
.	O	O
9	O	O
,	O	O
8	O	O
.	O	O
7	O	O
,	O	O
and	O	O
22	O	O
months	O	O
,	O	O
respectively	O	O
.	O	O

prolonged	O	O
pfs	O	O
and	O	O
os	O	O
were	O	O
observed	O	O
in	O	O
patients	O	O
achieving	O	O
cr	O	O
and	O	O
receiving	O	O
bort	B-chem	O
-	O	O
dex	B-chem	B-chem
a	O	O
single	O	O
line	O	O
of	O	O
prior	O	O
therapy	O	O
.	O	O

bort	B-chem	O
-	O	O
dex	B-chem	B-chem
was	O	O
an	O	O
effective	O	O
salvage	O	O
treatment	O	O
for	O	O
mm	O	O
patients	O	O
,	O	O
particularly	O	O
for	O	O
those	O	O
in	O	O
first	O	O
relapse	O	O
.	O	O

pubertal	O	O
exposure	O	O
to	O	O
bisphenol	B-chem	B-chem
a	I-chem	O
increases	O	O
anxiety	O	O
-	O	O
like	O	O
behavior	O	O
and	O	O
decreases	O	O
acetylcholinesterase	O	O
activity	O	O
of	O	O
hippocampus	O	O
in	O	O
adult	O	O
male	O	O
mice	O	O
.	O	O

the	O	O
negative	O	O
effects	O	O
of	O	O
bisphenol	B-chem	B-chem
a	I-chem	O
(	O	O
bpa	B-chem	B-chem
)	O	O
on	O	O
neurodevelopment	O	O
and	O	O
behaviors	O	O
have	O	O
been	O	O
well	O	O
established	O	O
.	O	O

acetylcholinesterase	O	O
(	O	O
ache	O	O
)	O	O
is	O	O
a	O	O
regulatory	O	O
enzyme	O	O
which	O	O
is	O	O
involved	O	O
in	O	O
anxiety	O	O
-	O	O
like	O	O
behavior	O	O
.	O	O

this	O	O
study	O	O
investigated	O	O
behavioral	O	O
phenotypes	O	O
and	O	O
ache	O	O
activity	O	O
in	O	O
male	O	O
mice	O	O
following	O	O
bpa	B-chem	B-chem
exposure	O	O
during	O	O
puberty	O	O
.	O	O

on	O	O
postnatal	O	O
day	O	O
(	O	O
pnd	O	O
)	O	O
35	O	O
,	O	O
male	O	O
mice	O	O
were	O	O
exposed	O	O
to	O	O
50	O	O
mg	O	O
bpa	B-chem	O
/	O	O
kg	O	O
diet	O	O
per	O	O
day	O	O
for	O	O
a	O	O
period	O	O
of	O	O
35	O	O
days	O	O
.	O	O

on	O	O
pnd71	O	O
,	O	O
a	O	O
behavioral	O	O
assay	O	O
was	O	O
performed	O	O
using	O	O
the	O	O
elevated	O	O
plus	O	O
maze	O	O
(	O	O
epm	O	O
)	O	O
and	O	O
the	O	O
light	O	O
/	O	O
dark	O	O
test	O	O
.	O	O

in	O	O
addition	O	O
,	O	O
ache	O	O
activity	O	O
was	O	O
measured	O	O
in	O	O
the	O	O
prefrontal	O	O
cortex	O	O
,	O	O
hypothalamus	O	O
,	O	O
cerebellum	O	O
and	O	O
hippocampus	O	O
.	O	O

results	O	O
from	O	O
our	O	O
behavioral	O	O
phenotyping	O	O
indicated	O	O
that	O	O
anxiety	O	O
-	O	O
like	O	O
behavior	O	O
was	O	O
increased	O	O
in	O	O
mice	O	O
exposed	O	O
to	O	O
bpa	B-chem	B-chem
.	O	O

ache	O	O
activity	O	O
