input	data/bc5-chemical/characterbert-from_general-128-s1.tsv	data/bc5-chemical/characterbert-general+node2vec-s1.tsv	data/bc5-chemical/characterbert-general-s1.tsv	data/bc5-chemical/enhanced-characterbert-from_general-128+node2vec-s1.tsv	data/bc5-chemical/fasttext-gigaword+node2vec-s1.tsv	data/bc5-chemical/fasttext-gigaword-s1.tsv	data/bc5-chemical/fasttext-mimic+node2vec-s1.tsv	data/bc5-chemical/fasttext-mimic-s1.tsv	data/bc5-chemical/fasttext-pubmed+node2vec-s1.tsv	data/bc5-chemical/fasttext-pubmed-s1.tsv	data/bc5-chemical/fasttext-random+node2vec-s1.tsv	data/bc5-chemical/fasttext-random-s1.tsv
3772_tdf	1	0	0	1	1	0	1	1	1	1	0	0
3995_thiopentone	1	1	1	1	1	1	1	1	1	1	1	1
4011_propofol	1	1	1	1	1	1	1	1	1	1	1	1
4083_thiopentone	1	1	1	1	1	1	1	1	1	1	1	1
4101_methamphetamine	1	1	1	1	1	1	1	1	1	1	1	1
4115_methamphetamine	1	1	1	1	1	1	1	1	1	1	1	1
4117_meth	1	1	1	1	1	1	1	1	1	1	1	1
4127_meth	1	1	0	1	1	0	1	0	1	0	1	1
4154_meth	1	1	1	1	1	1	1	1	1	1	1	1
4192_meth	1	1	1	1	1	1	1	1	1	1	1	1
4207_meth	1	1	1	1	1	1	1	1	1	1	1	1
4244_meth	1	1	1	1	1	1	1	1	1	1	1	1
4272_meth	1	1	1	1	1	1	1	1	1	1	1	1
4294_dopamine	1	1	1	1	1	1	1	1	1	1	1	1
4296_dopac	1	1	1	1	1	1	1	1	1	1	1	1
4298_hva	1	1	1	1	1	1	1	1	1	1	1	1
4300_tyrosine	1	1	1	1	1	1	1	1	1	1	1	1
4303_serotonin	1	1	1	1	1	1	1	1	1	1	1	1
4373_meth	1	1	1	1	1	1	1	1	1	1	1	1
4397_linezolid	1	1	1	1	1	0	1	1	1	1	1	1
4449_linezolid	1	1	1	1	1	0	1	1	1	1	1	0
4475_linezolid	1	1	1	1	1	0	1	1	1	1	1	0
4477_ethambutol	1	1	1	1	1	1	1	1	1	1	1	1
4519_ethambutol	1	1	1	1	1	1	1	1	1	1	1	1
4529_ethambutol	1	1	1	1	1	1	1	1	1	1	1	1
4541_ethambutol	1	1	1	1	1	1	1	1	1	1	1	1
4546_linezolid	1	1	1	1	1	1	1	1	1	1	1	0
4571_linezolid	1	1	1	1	1	0	1	1	1	1	1	0
4579_epinephrine	1	1	1	1	1	1	1	1	1	1	1	1
4584_levobupivacaine	1	1	1	1	1	1	1	1	1	1	1	1
4605_epinephrine	1	1	1	1	1	1	1	1	1	1	1	1
4633_levobupivacaine	1	1	1	1	1	1	1	1	1	1	1	0
4682_epinephrine	1	1	1	1	1	1	1	1	1	1	1	1
4691_epinephrine	1	1	1	1	1	1	1	1	1	1	1	1
4805_epinephrine	1	1	1	1	1	1	1	1	1	1	1	1
4807_epinephrine	1	1	1	1	1	1	1	1	1	1	1	1
4828_epinephrine	1	1	1	1	1	1	1	1	1	1	1	1
4831_epinephrine	1	1	1	1	1	1	1	1	1	1	1	1
4850_epinephrine	1	1	1	1	1	1	1	1	1	1	1	1
4875_heparin	1	1	1	1	1	1	1	1	1	1	1	1
4934_heparin	1	1	1	1	1	1	1	1	1	1	1	1
5177_heparin	1	1	1	1	1	1	1	1	1	1	1	1
5194_heparin	1	1	1	1	1	1	1	1	1	1	0	1
5212_zolmitriptan	1	1	1	1	1	1	1	1	1	1	1	0
5358_zolmitriptan	1	1	1	1	1	1	1	1	1	1	1	0
5375_zolmitriptan	1	1	1	1	1	1	1	1	1	1	1	0
5442_zolmitriptan	1	1	1	1	1	1	1	1	1	1	1	0
5470_3	1	1	1	1	1	1	1	1	1	1	1	1
5471_,	1	1	1	1	1	1	1	1	1	1	1	1
5472_4	1	1	1	1	1	1	1	1	1	1	1	1
5473_-	1	1	1	1	1	1	1	1	1	1	1	1
5474_methylenedioxymethamphetamine	1	1	1	1	1	1	1	1	1	1	1	1
5476_mdma	1	1	1	1	1	1	1	1	1	1	1	1
5478_ecstasy	1	1	1	1	1	1	1	1	1	1	1	1
5484_ecstasy	1	1	1	1	1	1	1	1	1	1	1	1
5486_3	1	1	1	1	1	1	1	1	1	1	1	1
5487_,	1	1	1	1	1	1	1	1	1	1	0	1
5488_4	1	1	1	1	1	1	1	1	1	1	1	1
5489_-	1	1	1	1	1	1	1	1	1	1	1	1
5490_methylenedioxymethamphetamine	1	1	1	1	1	1	1	1	1	1	1	1
5493_mdma	1	1	1	1	1	1	1	1	1	1	1	1
5547_ecstasy	1	1	1	1	1	1	1	1	1	1	1	1
5601_alcohol	1	1	1	1	1	1	1	1	1	1	1	1
5603_nicotine	1	1	1	1	1	1	1	1	1	1	1	1
5605_an	1	0	0	0	0	0	0	0	0	0	0	0
5608_cannabis	1	1	1	1	1	1	1	1	1	1	1	1
5610_alcohol	1	1	1	1	1	1	1	1	1	1	1	1
5612_nicotine	1	1	1	1	1	1	1	1	1	1	1	1
5614_can	1	0	0	0	0	0	0	0	0	0	0	0
5619_ecstasy	1	1	1	0	1	1	1	1	1	1	1	1
5628_ecstasy	1	1	1	1	1	1	1	1	1	1	1	1
5634_mdma	1	1	1	1	1	1	1	1	1	1	1	1
5642_mdma	1	1	1	1	1	1	1	0	1	1	1	0
5688_can	0	0	1	0	0	0	0	0	0	0	0	0
5705_mdma	1	1	1	1	1	1	1	1	1	1	1	1
5709_mdma	1	1	1	1	1	0	1	0	1	1	1	1
5749_ecstasy	1	1	1	1	1	1	1	1	1	1	1	1
5761_ecstasy	1	1	1	1	1	1	1	1	1	1	1	1
5817_ecstasy	1	1	1	1	1	1	1	1	1	1	1	1
5836_levodopa	1	0	1	1	1	1	1	1	1	1	1	1
5847_levodopa	1	1	1	1	1	1	1	1	1	1	1	1
5890_glutamate	1	1	1	1	1	1	1	1	1	1	1	1
5926_levodopa	1	1	1	1	1	1	1	1	1	1	1	1
6051_levodopa	1	0	1	1	1	1	1	1	1	1	1	1
6056_crocin	1	1	1	1	1	1	1	1	1	1	0	1
6062_diazinon	1	1	1	1	1	1	1	1	1	1	1	1
6077_diazinon	1	1	1	1	1	1	1	1	1	1	1	1
6085_organophosphorus	1	1	1	0	1	1	1	1	1	1	0	1
6098_diazinon	1	1	1	1	1	1	1	1	1	1	1	1
6112_crocin	1	1	1	1	1	1	1	1	1	1	1	1
6174_diazinon	1	1	1	1	1	1	1	1	1	1	1	1
6181_crocin	1	1	1	1	1	1	1	1	1	1	1	1
6183_diazinon	1	1	1	1	1	1	1	1	1	1	1	1
6186_cholesterol	1	1	1	1	1	1	1	1	1	1	1	1
6216_diazinon	1	1	1	1	1	1	1	1	1	1	1	1
6227_crocin	1	1	1	1	1	1	1	1	1	1	1	1
6244_diazinon	1	1	1	1	1	1	1	1	1	1	1	1
6256_cholesterol	1	1	1	1	1	1	1	1	1	1	1	1
6258_triglyceride	0	1	1	1	1	1	1	1	1	1	1	1
6320_diazinon	1	1	1	1	1	1	1	1	1	1	1	1
6325_cholesterol	1	1	1	1	1	1	1	1	1	1	1	1
6327_triglyceride	0	1	1	0	1	1	1	1	0	1	1	1
6333_diazinon	1	1	1	1	1	0	1	1	1	1	1	0
6345_crocin	1	1	1	1	1	1	1	1	1	1	0	1
6352_diazinon	1	1	1	1	1	1	1	1	1	1	1	1
6367_crocin	1	1	1	1	1	1	1	1	1	1	0	1
6377_diazinon	1	1	1	1	1	1	1	1	1	1	1	1
6393_gem	1	1	1	1	1	1	1	1	1	1	1	1
6470_gemcitabine	1	1	1	1	1	1	1	1	1	1	1	1
6472_cisplatin	1	1	1	1	1	1	1	1	1	1	1	1
6514_gemcitabine	1	1	1	1	1	1	1	1	1	1	1	1
6534_methylprednisolone	1	1	1	1	1	1	1	1	1	1	1	1
6544_cisplatin	1	1	1	1	1	1	1	1	1	1	1	1
6558_gem	1	0	0	1	1	1	1	1	1	1	1	1
6599_gem	1	1	1	1	1	1	1	1	1	1	1	1
6627_gem	1	1	1	1	1	1	1	1	1	1	1	1
6657_gem	1	1	1	1	1	1	1	1	1	1	1	1
6735_gem	1	1	1	1	1	1	1	1	1	1	1	1
6746_gem	1	1	1	1	1	1	1	1	1	1	1	1
6806_gem	1	1	1	1	1	1	1	1	1	1	1	1
6855_ecstasy	1	1	1	1	1	1	1	1	1	1	1	1
6862_ecstasy	1	1	1	1	1	1	1	1	1	1	1	1
6864_mdma	1	1	1	1	1	1	1	1	1	1	1	1
6920_ecstasy	1	1	1	1	1	1	1	1	1	1	1	1
6939_cortisol	1	1	1	1	1	1	1	1	1	1	1	1
6958_ecstasy	1	1	1	1	1	1	1	1	1	1	1	1
6965_ecstasy	1	1	1	1	1	1	1	1	1	1	1	1
6988_cortisol	1	1	1	1	1	1	1	1	1	1	1	1
7056_cortisol	1	1	1	0	0	1	0	1	0	1	0	1
7084_ecstasy	1	1	1	1	1	1	1	1	1	1	1	1
7110_cortisol	1	1	1	1	1	1	1	1	1	1	1	1
7115_cortisol	1	1	1	1	1	1	1	1	1	1	1	1
7139_ecstasy	1	1	1	1	1	1	1	1	1	1	1	1
7147_cortisol	1	1	1	1	1	1	1	1	1	1	1	1
7174_ecstasy	1	1	1	1	1	1	1	1	1	1	1	1
7177_ifosfamide	1	1	1	1	1	1	1	1	1	1	1	1
7192_ifosfamide	1	1	1	1	1	1	1	1	1	1	1	1
7234_ifosfamide	1	0	1	1	1	1	1	1	1	1	1	1
7256_ifosfamide	1	1	1	1	1	1	1	1	1	1	1	1
7293_ifosfamide	1	1	1	1	1	1	1	1	1	1	1	1
7320_ifosfamide	1	1	1	1	1	1	1	1	1	1	1	1
7414_ifosfamide	1	1	1	1	1	1	1	1	1	1	1	1
7432_ifosfamide	1	1	1	1	1	1	1	1	1	1	1	1
7442_contrast	0	0	0	0	0	0	1	1	1	0	0	0
7466_contrast	0	0	0	0	0	0	0	0	0	0	0	0
7509_contrast	0	0	0	0	0	0	0	0	0	0	0	0
7533_creatinine	1	1	1	1	1	1	1	1	1	1	1	1
7535_cr	0	1	0	0	0	1	1	1	1	0	1	0
7550_cr	0	0	0	0	0	0	0	0	0	0	0	0
7662_bevacizumab	1	1	1	1	1	0	1	1	1	1	1	1
7664_irinotecan	1	1	1	1	1	0	1	1	1	1	1	0
7729_bevacizumab	1	1	1	1	1	0	1	1	1	1	1	1
7731_irinotecan	1	1	1	1	1	0	1	1	1	1	1	0
7747_contrast	0	0	0	0	0	0	1	1	0	0	0	0
7785_bevacizumab	1	1	1	1	1	0	1	1	1	1	1	0
7802_desvenlafaxine	1	1	1	1	1	1	1	1	1	1	1	0
7826_desvenlafaxine	1	1	1	1	1	0	1	1	1	1	1	0
7846_desvenlafaxine	1	1	1	1	1	1	1	1	1	1	0	0
7860_sodium	1	1	1	1	1	1	1	1	1	1	1	1
7886_sodium	1	1	1	1	1	1	1	1	1	1	1	1
7900_desvenlafaxine	1	1	1	1	1	1	1	1	1	1	1	0
7913_sodium	1	1	1	1	1	1	1	1	1	1	1	1
7936_sodium	1	1	1	1	1	1	1	1	1	1	1	1
7948_mirtazapine	1	1	1	1	1	1	1	1	1	1	1	1
7971_desvenlafaxine	1	1	1	1	1	1	1	1	1	1	0	0
8016_doxorubicin	1	1	1	1	1	1	1	1	1	1	1	1
8022_doxorubicin	1	1	1	1	1	1	1	1	1	1	1	1
8024_dox	1	1	1	1	1	1	1	1	1	1	1	1
8041_dox	1	1	1	1	1	1	1	1	1	1	1	1
8086_dox	1	1	1	1	1	1	1	1	1	1	1	1
8098_dox	1	1	1	1	1	1	1	1	1	1	1	1
8115_dox	1	1	1	1	1	1	1	1	1	1	1	1
8208_dox	1	1	1	1	1	1	1	1	1	1	1	1
8371_dox	1	1	1	1	1	1	1	1	1	1	1	1
8388_dox	1	1	1	1	1	1	1	1	1	1	1	1
8406_tacrolimus	1	1	1	1	1	1	1	1	1	1	1	1
8573_bilirubin	1	1	1	1	1	1	1	1	1	1	1	1
8579_tac	1	1	1	1	1	1	1	1	1	1	1	1
8589_tac	1	1	1	1	1	1	1	1	1	1	1	1
8644_tac	1	1	1	1	1	1	1	1	1	1	1	1
8688_tac	1	1	1	1	1	1	1	1	1	1	1	1
8695_flavonoid	0	0	0	0	1	0	1	0	1	1	1	0
8696_apigenin	1	1	1	1	0	0	0	0	0	0	0	0
8718_flavonoid	0	0	1	1	1	1	1	0	1	1	1	0
8719_apigenin	1	1	1	1	0	0	0	0	0	0	0	0
8771_apigenin	1	1	1	1	1	1	1	1	1	1	1	0
8785_apigenin	1	1	1	1	1	0	1	0	1	1	1	0
8793_scopolamine	1	1	1	1	1	1	1	1	1	1	1	1
8817_apigenin	1	1	1	1	1	1	1	1	1	1	1	0
8903_apigenin	1	1	1	1	1	0	1	0	1	1	1	0
8917_apigenin	1	1	1	1	1	0	1	0	1	1	0	0
8943_apigenin	1	1	1	1	1	1	1	0	1	1	1	0
8966_cholecystokinin	1	1	1	1	1	1	1	1	1	1	0	0
8967_-	1	1	1	1	1	0	1	1	0	1	0	0
8968_octapeptide	1	1	1	1	1	0	1	1	1	1	0	0
8970_morphine	1	1	1	1	1	1	1	1	1	1	1	1
8983_cholecystokinin	1	1	1	1	1	1	1	1	1	1	1	0
8984_-	1	1	1	1	1	0	1	1	0	1	0	0
8985_octapeptide	1	1	1	1	1	0	1	1	1	1	0	0
8987_cck	1	1	1	1	1	1	1	1	1	1	1	0
8988_-	1	1	1	1	1	0	1	0	0	1	0	0
8989_8	1	1	1	1	1	0	1	0	0	1	0	0
9020_cck	1	1	1	1	1	1	1	1	1	1	0	0
9021_-	1	1	1	1	1	0	0	0	0	0	0	0
9022_8	0	1	1	1	1	0	1	0	0	0	0	0
9025_morphine	1	1	1	1	1	1	1	1	1	1	1	1
9042_morphine	1	1	1	1	1	1	1	1	1	1	1	1
9055_cck	1	1	1	1	1	1	1	1	1	1	0	0
9056_-	1	1	1	1	1	0	0	0	0	0	0	0
9057_8	1	1	1	1	1	0	0	0	0	0	0	0
9089_morphine	1	1	1	1	1	1	1	1	1	1	1	1
9119_morphine	1	1	1	1	1	1	1	1	1	1	1	1
9137_cck	1	1	1	1	1	1	1	1	0	1	0	0
9138_-	0	1	1	0	1	1	0	0	0	1	0	0
9139_8	0	1	1	0	1	1	0	0	0	1	0	0
9159_morphine	1	1	1	1	1	1	1	1	1	1	1	1
9167_cck	1	1	1	1	1	1	1	1	1	1	1	0
9168_-	1	1	1	1	1	1	0	0	1	1	0	0
9169_8	0	1	1	1	1	1	1	0	1	1	0	0
9234_cck	0	1	1	1	1	1	1	1	1	1	0	0
9235_-	1	1	1	1	1	1	0	0	0	1	0	0
9236_8	0	1	1	1	1	1	0	0	0	1	0	0
9266_cck	0	1	1	1	1	1	0	1	1	1	1	0
9267_-	1	1	1	1	1	0	0	0	0	1	0	0
9268_8	0	1	1	1	1	0	0	0	0	1	0	0
9273_morphine	1	1	1	1	1	1	1	1	1	1	1	1
9286_cck	1	1	1	1	1	1	1	1	1	1	0	0
9287_-	1	1	1	1	1	1	0	0	0	1	0	0
9288_8	1	1	1	1	1	1	1	0	0	1	0	0
9290_morphine	1	1	1	1	1	1	1	1	1	1	1	1
9309_streptozotocin	1	1	1	1	1	1	1	1	1	1	1	1
9335_streptozotocin	1	1	1	1	1	1	0	0	1	1	1	1
9337_stz	1	1	1	1	1	0	1	1	1	1	0	0
9368_stz	1	1	1	1	0	0	0	0	1	1	0	1
9379_stz	1	1	0	1	1	0	0	1	1	1	0	0
9398_stz	1	1	1	1	0	0	0	1	1	1	0	0
9407_nitrite	1	1	1	1	1	1	1	0	1	1	1	0
9409_ca	1	1	1	1	1	1	1	1	1	1	1	1
9442_stz	1	1	1	1	0	0	0	0	1	1	0	0
9456_stz	1	1	0	1	1	0	1	1	1	1	0	0
9497_memantine	1	1	1	1	1	0	1	1	1	1	1	0
9504_ibuprofen	1	1	1	1	1	1	1	1	1	1	1	1
9516_stz	1	1	1	1	1	0	0	0	1	1	0	0
9556_stz	1	1	1	1	1	0	1	0	1	1	0	1
9573_nitrite	1	1	1	1	1	1	1	0	1	1	1	1
9593_ca	1	1	1	1	1	1	1	1	1	1	1	1
9640_stz	1	1	1	1	0	0	0	0	1	1	0	0
9655_sodium	1	1	1	1	0	1	1	1	1	1	0	0
9656_chloride	1	1	1	1	1	1	1	1	1	1	1	1
9658_diltiazem	1	1	1	1	1	1	1	1	1	1	1	1
9662_contrast	0	0	0	0	1	0	1	0	0	0	0	0
9673_contrast	0	0	0	0	0	0	1	1	0	0	0	0
9705_sodium	1	1	1	1	1	1	1	1	1	1	1	1
9706_chloride	1	1	1	1	1	1	1	1	1	1	1	1
9708_sodium	1	1	1	1	1	1	1	1	1	1	1	1
9709_bicarbonate	1	1	1	1	1	1	1	1	1	1	1	1
9713_sodium	1	1	1	1	1	1	1	1	1	1	1	1
